month,month_name,income,cost_of_goods_sold,expense,hours_worked,billable_hours,billable_amount,new_biz_hours,new_biz_amount,num_of_time_entries,number_of_time_entries_billable,number_of_new_biz_time_entries
1,Jan,407715.91,134466.47,242256.23,6196.662,4181.549,459218.19,571.75,55117.5,639,602,23
2,Feb,381157.73,123865.33,245768.98,5087.3,3051.85,330105.75,256.75,25608.75,538,499,20
3,Mar,527446.13,167441.29,332037.45,5497.351,3343.735,360651.36,221.75,8688.75,571,534,19
4,Apr,568181.53,184280.56,357303.42,5868.5,3691.25,409938.5,83.25,6750,635,596,19
5,May ,594861.56,232113.09,238431.56,6522.2,4394.95,485225.4,140,12521.25,651,610,20
6,Jun,605309.25,301239.26,287583.34,5576.25,3335.65,369245.76,119.75,8298.75,585,548,19
7,Jul,723102.93,273816.82,389885.49,6479.3,4197.4,468029.83,279.25,26606.25,680,652,21
8,Aug,775699.91,360234.23,368201.31,6642.75,4348.5,492341.45,220.25,22402.5,654,618,22
9,Sep,804935.79,366550.59,384613.35,6745.9,4122.4,469659.08,300.5,35156.25,599,563,21
10,Oct,756619.61,350129.27,325052.62,6914.25,4316.75,492309.06,211,20625,698,648,23
11,Nov,581972.1,234621.98,545693.81,6455.1,3452.6,396188.65,141.5,13818.75,646,599,18
12,Dec,589133.85,264313.09,539527.14,7118.5,3404.25,383932.77,61.25,6626.25,596,558,17
13,Jan,651500.99,254487.89,286188.19,7859,4853.25,536424.51,202,24101.25,697,653,22
14,Feb,566135.56,137057.99,358967.71,6807.25,4226,471635.54,161,17343.75,644,607,20
15,Mar,439164.73,82526.76,332575.2,7122.575,4158.625,456046.11,192.75,23662.5,684,642,20
16,Apr,574521.76,152301.24,361684.79,7406.95,4304.7,475359.67,150.1,18117,725,686,22
17,May,501189.67,204645.8,282647.14,7510.35,4159.4,453479.28,198.3,21891,621,571,22
18,Jun,520503.23,142443.15,343190.43,7184.35,3966.25,426854.9,155.25,18817.5,617,572,20
19,Jul,508099.95,149589.08,313544.54,8173.55,4708.05,506807.25,229.5,25204.5,678,629,22
20,Aug,558308.64,161447.87,354575.12,7174.15,4380.2,464010.55,379.1,42263.25,656,613,20
21,Sep,624671.61,132356.47,448082.28,7803.7,5052.25,549951.1,550.35,64677,729,676,24
22,Oct,841705.96,342049.23,447459.57,8046.8,5061,547628.55,39.5,3348.75,746,702,15
23,Nov,790559.86,242517.82,472031.82,7022.15,3591.35,392238.6,192.05,22753.5,580,532,19
24,Dec,457864.93,132209.76,583873.3,8143.77,3854.37,425118.55,154.85,19545.75,665,606,20
