Sequence,Month_Int_Representation,Year,Month_Integer_Representation,Number_of_Days_in_Month,Income,Cost_of_Goods_Sold,Operating_Expenses,Hours_Worked,Billable_Hours,Billable_Amount,New_Biz_Hours,n_of_Time_Entries,n_of_Time_Entries_Billable,n_of_New_Biz_Time_Entries,n_Timesheets
1,1,2013,31,407715.91,-134466.47,-242256.23,14.32,4181.549,459218.19,571.75,55117.5,5306,4256,275,790
2,2,2013,28,381157.73,-123865.33,-245768.98,22.27,3051.85,330105.75,256.75,25608.75,4537,3346,194,679
3,3,2013,31,527446.13,-167441.29,-332037.45,34.47,3343.735,360651.36,221.75,8688.75,4770,3667,87,725
4,4,2013,30,568181.53,-184280.56,-357303.42,37.85,3691.25,409938.5,83.25,6750,5282,4011,72,784
5,5,2013,31,594861.56,-232113.09,-238431.56,37.74,4394.95,485225.4,140,12521.25,5426,4222,59,830
6,6,2013,30,605309.25,-301239.26,-287583.34,4395.58,3335.65,369245.76,119.75,8298.75,4935,3723,88,730
7,7,2013,31,723102.93,-273816.82,-389885.49,46.52,4197.4,468029.83,279.25,26606.25,6023,4829,185,852
8,8,2013,31,775699.91,-360234.23,-368201.31,40.04,4348.5,492341.45,220.25,22402.5,5999,4802,158,859
9,9,2013,30,804935.79,-366550.59,-384613.35,37.82,4122.4,469659.08,300.5,35156.25,5872,4569,245,849
10,10,2013,31,756619.61,-350129.27,-325052.62,65.29,4316.75,492309.06,211,20625,6459,4896,230,891
11,11,2013,30,581972.1,-234621.98,-545693.81,94.88,3452.6,396188.65,141.5,13818.75,5144,3682,149,833
12,12,2013,31,589133.85,-264313.09,-539527.14,49.93,3404.25,383932.77,61.25,6626.25,5279,3822,101,927
13,1,2014,31,651500.99,-254487.89,-286188.19,29.09,4853.25,536424.51,202,24101.25,6893,5101,158,1022
14,2,2014,28,566135.56,-137057.99,-358967.71,14.75,4226,471635.54,161,17343.75,6349,4662,151,893
15,3,2014,31,439164.73,-82526.76,-332575.2,2106.57,4158.625,456046.11,192.75,23662.5,6493,4652,175,930
16,4,2014,30,574521.76,-152301.24,-361684.79,579.07,4304.7,475359.67,150.1,18117,6668,4932,297,964
17,5,2014,31,501189.67,-204645.8,-282647.14,17.84,4159.4,453479.28,198.3,21891,6633,4742,158,983
18,6,2014,30,520503.23,-142443.15,-343190.43,11.36,3966.25,426854.9,155.25,18817.5,6196,4340,104,938
19,7,2014,31,508099.95,-149589.08,-313544.54,1716.8,4708.05,506807.25,229.5,25204.5,7638,5554,180,1045
20,8,2014,31,558308.64,-161447.87,-354575.12,72.34,4380.2,464010.55,379.1,42263.25,6810,5132,283,923
21,9,2014,30,624671.61,-132356.47,-448082.28,6.76,5052.25,549951.1,550.35,64677,7728,6086,266,989
22,10,2014,31,841705.96,-342049.23,-447459.57,1244.6,5061,547628.55,39.5,3348.75,8860,6854,39,1029
23,11,2014,30,790559.86,-242517.82,-472031.82,10.08,3591.35,392238.6,192.05,22753.5,6917,5023,136,914
24,12,2014,31,457864.93,-132209.76,-583873.3,13.84,3854.37,425118.55,154.85,19545.75,6825,4808,202,1065
25,1,2015,31,545623.82,-146390.46,-361598.06,37.67,4394.18,479607.4,580.2,69249,8036,5655,365,1033
26,2,2015,28,406968.84,-69938.39,-306156.45,23.65,4298.9,469781.9,192,22537.5,8496,5759,186,932
27,3,2015,31,784333.47,-286561.72,-427935.69,10.28,4850.9,525087,203.6,21762,9874,6445,269,1049
28,4,2015,30,588458.17,-138172.41,-399780.75,2626.89,4439.25,488705.65,268.1,31185.75,9402,6304,438,1002
29,5,2015,31,512051.66,-137876.12,-348011.54,15.84,4236.1,462481.95,147.1,17850.75,7915,5658,173,943
30,6,2015,30,722173.88,-167208.23,-498617.39,60.31,4557.05,499467.25,107.5,12333.75,8059,6081,87,984
31,7,2015,31,651303.82,-188094.49,-405219.32,17.66,4424.6,488532.65,142,15772.5,7993,6061,116,1023
